OPERADORA_PAIS,Date,Population
MX,2023-10,128455567
MX,2023-11,128455567
MX,2023-12,128455567
NI,2018-01,6572233
NI,2018-02,6572233
NI,2018-03,6572233
NI,2018-04,6572233
NI,2018-05,6572233
NI,2018-06,6572233
NI,2018-07,6572233
NI,2018-08,6572233
NI,2018-09,6572233
NI,2018-10,6572233
NI,2018-11,6572233
NI,2018-12,6572233
NI,2019-01,6663924
NI,2019-02,6663924
NI,2019-03,6663924
NI,2019-04,6663924
NI,2019-05,6663924
NI,2019-06,6663924
NI,2019-07,6663924
NI,2019-08,6663924
NI,2019-09,6663924
NI,2019-10,6663924
NI,2019-11,6663924
NI,2019-12,6663924
NI,2020-01,6755896
NI,2020-02,6755896
NI,2020-03,6755896
NI,2020-04,6755896
NI,2020-05,6755896
NI,2020-06,6755896
NI,2020-07,6755896
NI,2020-08,6755896
NI,2020-09,6755896
NI,2020-10,6755896
NI,2020-11,6755896
NI,2020-12,6755896
NI,2021-01,6850540
NI,2021-02,6850540
NI,2021-03,6850540
NI,2021-04,6850540
NI,2021-05,6850540
NI,2021-06,6850540
NI,2021-07,6850540
NI,2021-08,6850540
NI,2021-09,6850540
NI,2021-10,6850540
NI,2021-11,6850540
NI,2021-12,6850540
NI,2022-01,6948392
NI,2022-02,6948392
NI,2022-03,6948392
NI,2022-04,6948392
NI,2022-05,6948392
NI,2022-06,6948392
NI,2022-07,6948392
NI,2022-08,6948392
NI,2022-09,6948392
NI,2022-10,6948392
NI,2022-11,6948392
NI,2022-12,6948392
NI,2023-01,7046311
NI,2023-02,7046311
NI,2023-03,7046311
NI,2023-04,7046311
NI,2023-05,7046311
NI,2023-06,7046311
NI,2023-07,7046311
NI,2023-08,7046311
NI,2023-09,7046311
NI,2023-10,7046311
NI,2023-11,7046311
NI,2023-12,7046311
PA,2018-01,4165255
PA,2018-02,4165255
PA,2018-03,4165255
PA,2018-04,4165255
PA,2018-05,4165255
PA,2018-06,4165255
PA,2018-07,4165255
PA,2018-08,4165255
PA,2018-09,4165255
PA,2018-10,4165255
PA,2018-11,4165255
PA,2018-12,4165255
PA,2019-01,4232532
PA,2019-02,4232532
PA,2019-03,4232532
PA,2019-04,4232532
PA,2019-05,4232532
PA,2019-06,4232532
PA,2019-07,4232532
PA,2019-08,4232532
PA,2019-09,4232532
PA,2019-10,4232532
PA,2019-11,4232532
PA,2019-12,4232532
PA,2020-01,4294397
PA,2020-02,4294397
PA,2020-03,4294397
PA,2020-04,4294397
PA,2020-05,4294397
PA,2020-06,4294397
PA,2020-07,4294397
PA,2020-08,4294397
PA,2020-09,4294397
PA,2020-10,4294397
PA,2020-11,4294397
PA,2020-12,4294397
PA,2021-01,4351267
PA,2021-02,4351267
PA,2021-03,4351267
PA,2021-04,4351267
PA,2021-05,4351267
PA,2021-06,4351267
PA,2021-07,4351267
PA,2021-08,4351267
PA,2021-09,4351267
PA,2021-10,4351267
PA,2021-11,4351267
PA,2021-12,4351267
PA,2022-01,4408581
PA,2022-02,4408581
PA,2022-03,4408581
PA,2022-04,4408581
PA,2022-05,4408581
PA,2022-06,4408581
PA,2022-07,4408581
PA,2022-08,4408581
PA,2022-09,4408581
PA,2022-10,4408581
PA,2022-11,4408581
PA,2022-12,4408581
PA,2023-01,4468087
PA,2023-02,4468087
PA,2023-03,4468087
PA,2023-04,4468087
PA,2023-05,4468087
PA,2023-06,4468087
PA,2023-07,4468087
PA,2023-08,4468087
PA,2023-09,4468087
PA,2023-10,4468087
PA,2023-11,4468087
PA,2023-12,4468087
PE,2018-01,32203944
PE,2018-02,32203944
PE,2018-03,32203944
PE,2018-04,32203944
PE,2018-05,32203944
PE,2018-06,32203944
PE,2018-07,32203944
PE,2018-08,32203944
PE,2018-09,32203944
PE,2018-10,32203944
PE,2018-11,32203944
PE,2018-12,32203944
PE,2019-01,32824861
PE,2019-02,32824861
PE,2019-03,32824861
PE,2019-04,32824861
PE,2019-05,32824861
PE,2019-06,32824861
PE,2019-07,32824861
PE,2019-08,32824861
PE,2019-09,32824861
PE,2019-10,32824861
PE,2019-11,32824861
PE,2019-12,32824861
PE,2020-01,33304756
PE,2020-02,33304756
PE,2020-03,33304756
PE,2020-04,33304756
PE,2020-05,33304756
PE,2020-06,33304756
PE,2020-07,33304756
PE,2020-08,33304756
PE,2020-09,33304756
PE,2020-10,33304756
PE,2020-11,33304756
PE,2020-12,33304756
PE,2021-01,33715472
PE,2021-02,33715472
PE,2021-03,33715472
PE,2021-04,33715472
PE,2021-05,33715472
PE,2021-06,33715472
PE,2021-07,33715472
PE,2021-08,33715472
PE,2021-09,33715472
PE,2021-10,33715472
PE,2021-11,33715472
PE,2021-12,33715472
PE,2022-01,34049589
PE,2022-02,34049589
PE,2022-03,34049589
PE,2022-04,34049589
PE,2022-05,34049589
PE,2022-06,34049589
PE,2022-07,34049589
PE,2022-08,34049589
PE,2022-09,34049589
PE,2022-10,34049589
PE,2022-11,34049589
PE,2022-12,34049589
PE,2023-01,34352719
PE,2023-02,34352719
PE,2023-03,34352719
PE,2023-04,34352719
PE,2023-05,34352719
PE,2023-06,34352719
